base_coffee_material_id,roast_batch_id,source_publication_id,data_lineage_id,laboratory_id,species_common,species_scientific,species_fraction,variety_cultivar,origin_country,origin_region,farm_estate_lot,processing_method,harvest_year,material_form,roast_category_published,roast_category_harmonized,roast_metric_type,roast_metric_value,roast_metric_units,colour_metric,roast_temperature_history,roast_duration,roast_mass_loss,moisture_value,moisture_basis,dose_sample_mass_basis,descriptor_provenance,descriptor_missingness_flags
dias_r000,dias_r000_light,dias2015,dias2015_table2,lab_uel_benassi,Arabica,Coffea arabica,0.0,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
viencz_r49,viencz_r49_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R49,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r50,viencz_r50_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R50,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r51,viencz_r51_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R51,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r52,viencz_r52_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R52,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r53,viencz_r53_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R53,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r54,viencz_r54_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R54,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r55,viencz_r55_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R55,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r56,viencz_r56_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R56,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r57,viencz_r57_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R57,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs1216,viencz_brs1216_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS1216,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs2299,viencz_brs2299_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS2299,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs2314,viencz_brs2314_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS2314,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs2336,viencz_brs2336_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS2336,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs2357,viencz_brs2357_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS2357,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs3137,viencz_brs3137_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS3137,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs3193,viencz_brs3193_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS3193,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs3210,viencz_brs3210_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS3210,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs3213,viencz_brs3213_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS3213,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_brs3220,viencz_brs3220_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,BRS3220,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
pannusch_source_coffee,pannusch_source_roast,pannusch2024,schmieder_pannusch_lineage,lab_tum_briesen,Blend,Blend,,source coffee,Brazil,,,,,ground,,,,,,,,,,,,,model fitted,
schmieder_source_coffee,schmieder_source_roast,schmieder2023,schmieder_pannusch_lineage,lab_tum_briesen,Blend,Blend,,source coffee,Brazil,,,,,ground,,,,,,,,,,,,,same coffee across extraction programs,
