occurrence_row,candidate_id,immediate_duplicate_target,canonical_root,traversal_path,path_length,normalized_identity,canonical_introduction_row
283,candidate_0196,,candidate_0196,candidate_0196,0,doi|10.21577/1984-6835.20190057,283
284,candidate_0197,,candidate_0197,candidate_0197,0,doi|10.1016/j.crfs.2022.01.017,284
285,candidate_0198,,candidate_0198,candidate_0198,0,doi|10.26656/fr.2017.7(6).1006,285
286,candidate_0199,,candidate_0199,candidate_0199,0,doi|10.1016/j.foodchem.2020.128304,286
287,candidate_0200,,candidate_0200,candidate_0200,0,doi|10.1016/j.foodres.2020.110089,287
288,candidate_0201,,candidate_0201,candidate_0201,0,doi|10.3390/foods13111757,288
289,candidate_0202,,candidate_0202,candidate_0202,0,doi|10.1081/jfp-200048060,289
290,candidate_0203,,candidate_0203,candidate_0203,0,doi|10.1016/j.foodchem.2021.129618,290
291,candidate_0204,,candidate_0204,candidate_0204,0,fallback|ara itas en las piernas sus causas y c mo eliminarlas||,291
292,candidate_0205,,candidate_0205,candidate_0205,0,fallback|ara itas en las piernas por qu salen y c mo eliminarlas bioguia||,292
293,candidate_0206,,candidate_0206,candidate_0206,0,fallback|c mo quitar las ara itas de las piernas 2 recetas efectivas||,293
294,candidate_0207,,candidate_0207,candidate_0207,0,fallback|ara itas vasculares en las piernas por qu salen y c mo quitarlas||,294
295,candidate_0208,,candidate_0208,candidate_0208,0,fallback|ara itas en las piernas causas s ntomas y tratamientos||,295
296,candidate_0209,,candidate_0209,candidate_0209,0,fallback|4 remedios caseros para eliminar las ara itas de las piernas y aliviar||,296
297,candidate_0210,,candidate_0210,candidate_0210,0,fallback|ara itas en las piernas causas prevenci n y tratamiento||,297
298,candidate_0211,,candidate_0211,candidate_0211,0,fallback|ara itas en las piernas por qu salen y c mo se eliminan||,298
299,candidate_0212,,candidate_0212,candidate_0212,0,fallback|ara as vasculares en las piernas consejos y tratamientos||,299
300,candidate_0213,,candidate_0213,candidate_0213,0,fallback|c mo quitar ara as vasculares tratamientos efectivos para eliminarlas||,300
301,candidate_0214,,candidate_0214,candidate_0214,0,doi|10.1533/9781845698232.4.206,301
302,candidate_0089,candidate_0089,candidate_0089,candidate_0089,0,doi|10.1271/bbb1961.49.3467,110
303,candidate_0090,candidate_0090,candidate_0090,candidate_0090,0,doi|10.1080/00021369.1985.10867295,111
304,candidate_0001,candidate_0001,candidate_0001,candidate_0001,0,doi|10.1021/acsomega.5c05526.s001,1
305,candidate_0083,candidate_0083,candidate_0083,candidate_0083,0,doi|10.1016/0308-8146(87)90167-1,101
306,candidate_0215,,candidate_0215,candidate_0215,0,doi|10.7176/cmr/11-8-03,306
307,candidate_0216,,candidate_0216,candidate_0216,0,doi|10.17221/629-cjfs,307
308,candidate_0050,candidate_0050,candidate_0050,candidate_0050,0,doi|10.31942/ce.v10i1.12731,53
309,candidate_0217,,candidate_0217,candidate_0217,0,doi|10.4103/ijas.ijas_6_21,309
310,candidate_0092,candidate_0092,candidate_0092,candidate_0092,0,doi|10.1158/1557-3265.tcm17-b73,116
311,candidate_0093,candidate_0093,candidate_0093,candidate_0093,0,doi|10.1021/ac60079a036,117
312,candidate_0094,candidate_0094,candidate_0094,candidate_0094,0,doi|10.1016/j.foodchem.2008.03.012,118
313,candidate_0003,candidate_0003,candidate_0003,candidate_0003,0,doi|10.1016/s0308-8146(99)00228-9,3
314,candidate_0084,candidate_0084,candidate_0084,candidate_0084,0,doi|10.2139/ssrn.5533441,102
315,candidate_0095,candidate_0095,candidate_0095,candidate_0095,0,doi|10.1016/j.vibspec.2018.05.003,120
316,candidate_0049,candidate_0049,candidate_0049,candidate_0049,0,doi|10.1016/j.lwt.2020.109344,52
317,candidate_0002,candidate_0002,candidate_0002,candidate_0002,0,doi|10.13031/2013.7478,2
318,candidate_0153,candidate_0153,candidate_0153,candidate_0153,0,doi|10.1016/0308-8146(95)93298-6,212
319,candidate_0154,candidate_0154,candidate_0154,candidate_0154,0,doi|10.1002/jps.3030430711,213
320,candidate_0218,,candidate_0218,candidate_0218,0,doi|10.33394/hjkk.v12i3.12140,320
321,candidate_0029,candidate_0029,candidate_0029,candidate_0029,0,doi|10.1016/j.foodres.2017.12.031,31
322,candidate_0134,candidate_0134,candidate_0134,candidate_0134,0,doi|10.1590/s1677-04202006000100014,174
323,candidate_0102,candidate_0102,candidate_0102,candidate_0102,0,doi|10.1590/s1677-04202006000100016,139
324,candidate_0163,candidate_0163,candidate_0163,candidate_0163,0,doi|10.1016/j.foodres.2014.01.005,226
325,candidate_0079,candidate_0079,candidate_0079,candidate_0079,0,doi|10.1016/j.jfca.2023.105140,85
326,candidate_0193,candidate_0193,candidate_0193,candidate_0193,0,doi|10.3390/ijerph20085586,280
327,candidate_0081,candidate_0081,candidate_0081,candidate_0081,0,doi|10.17221/1105-cjfs,88
328,candidate_0219,,candidate_0219,candidate_0219,0,doi|10.1016/j.jfoodeng.2018.01.009,328
329,candidate_0026,candidate_0026,candidate_0026,candidate_0026,0,doi|10.3390/antiox9020093,28
330,candidate_0220,,candidate_0220,candidate_0220,0,doi|10.1016/j.foodchem.2022.132888,330
331,candidate_0162,candidate_0162,candidate_0162,candidate_0162,0,doi|10.1016/j.foodchem.2021.131159,225
332,candidate_0221,,candidate_0221,candidate_0221,0,doi|10.3390/foods10030683,332
333,candidate_0222,,candidate_0222,candidate_0222,0,doi|10.3390/foods6050038,333
334,candidate_0223,,candidate_0223,candidate_0223,0,doi|10.5897/ajar2016.10832,334
335,candidate_0169,candidate_0169,candidate_0169,candidate_0169,0,doi|10.3390/molecules200916687,234
336,candidate_0224,,candidate_0224,candidate_0224,0,doi|10.3390/molecules26133856,336
337,candidate_0225,,candidate_0225,candidate_0225,0,doi|10.1016/j.lwt.2021.112717,337
338,candidate_0226,,candidate_0226,candidate_0226,0,doi|10.1016/j.lwt.2013.04.008,338
339,candidate_0227,,candidate_0227,candidate_0227,0,doi|10.1038/s41598-021-01001-2,339
340,candidate_0228,,candidate_0228,candidate_0228,0,doi|10.1007/s13197-015-2163-y,340
341,candidate_0175,candidate_0175,candidate_0175,candidate_0175,0,fallback|10 best coffee shops in lubbock tx 2026||,241
342,candidate_0176,candidate_0176,candidate_0176,candidate_0176,0,fallback|the best 10 coffee tea in lubbock tx updated august 2026 yelp||,242
343,candidate_0177,candidate_0177,candidate_0177,candidate_0177,0,fallback|9 must try coffee shops in lubbock visit lubbock||,243
344,candidate_0178,candidate_0178,candidate_0178,candidate_0178,0,fallback|monomyth coffee lubbock coffee roaster caf||,244
345,candidate_0146,candidate_0146,candidate_0146,candidate_0146,0,fallback|coffee wikipedia||,195
346,candidate_0179,candidate_0179,candidate_0179,candidate_0179,0,fallback|top 10 best coffeeshops in lubbock tx updated 2026 yelp||,246
347,candidate_0180,candidate_0180,candidate_0180,candidate_0180,0,fallback|coffee shop in lubbock dutch bros coffee drive thru||,247
348,candidate_0181,candidate_0181,candidate_0181,candidate_0181,0,fallback|8 best coffee shops in lubbock 2026 great caf s to try||,248
349,candidate_0182,candidate_0182,candidate_0182,candidate_0182,0,fallback|7 brew drive thru coffee||,249
350,candidate_0183,candidate_0183,candidate_0183,candidate_0183,0,fallback|menu starbucks coffee company||,250
351,candidate_0229,,candidate_0229,candidate_0229,0,doi|10.1016/j.jfca.2010.02.009,351
352,candidate_0230,,candidate_0230,candidate_0230,0,doi|10.3403/00438662u,352
353,candidate_0231,,candidate_0231,candidate_0231,0,doi|10.3403/00438662,353
354,candidate_0232,,candidate_0232,candidate_0232,0,doi|10.3390/icc2024-18164,354
355,candidate_0233,,candidate_0233,candidate_0233,0,doi|10.1093/9780197610145.003.2860,355
356,candidate_0234,,candidate_0234,candidate_0234,0,doi|10.1093/9780197610145.003.2849,356
357,candidate_0235,,candidate_0235,candidate_0235,0,doi|10.1093/9780197610145.003.2851,357
358,candidate_0236,,candidate_0236,candidate_0236,0,doi|10.1093/9780197610145.003.2859,358
359,candidate_0237,,candidate_0237,candidate_0237,0,doi|10.1093/9780197610145.003.2845,359
360,candidate_0238,,candidate_0238,candidate_0238,0,doi|10.3403/30397041,360
361,candidate_0239,,candidate_0239,candidate_0239,0,doi|10.1093/9780197610145.003.2847,361
362,candidate_0240,,candidate_0240,candidate_0240,0,doi|10.1093/9780197610145.003.2850,362
363,candidate_0241,,candidate_0241,candidate_0241,0,doi|10.3403/30397041u,363
364,candidate_0242,,candidate_0242,candidate_0242,0,doi|10.1093/9780197610145.003.2846,364
365,candidate_0243,,candidate_0243,candidate_0243,0,doi|10.1093/9780197610145.003.2844,365
366,candidate_0244,,candidate_0244,candidate_0244,0,doi|10.1093/9780197610145.003.2848,366
367,candidate_0245,,candidate_0245,candidate_0245,0,doi|10.1093/9780197610145.003.2855,367
368,candidate_0246,,candidate_0246,candidate_0246,0,doi|10.1093/9780197610145.003.2858,368
369,candidate_0247,,candidate_0247,candidate_0247,0,doi|10.1093/9780197610145.003.2854,369
370,candidate_0248,,candidate_0248,candidate_0248,0,doi|10.1093/9780197610145.003.2852,370
371,candidate_0024,candidate_0024,candidate_0024,candidate_0024,0,doi|10.1590/s1677-04202006000100003,26
372,candidate_0070,candidate_0070,candidate_0070,candidate_0070,0,doi|10.1016/j.foodres.2018.03.077,74
373,candidate_0249,,candidate_0249,candidate_0249,0,doi|10.1016/j.foodchem.2016.04.124,373
374,candidate_0026,candidate_0026,candidate_0026,candidate_0026,0,doi|10.3390/antiox9020093,28
375,candidate_0250,,candidate_0250,candidate_0250,0,doi|10.1007/s00217-014-2356-z,375
376,candidate_0164,candidate_0164,candidate_0164,candidate_0164,0,doi|10.1111/ijfs.16261,227
377,candidate_0163,candidate_0163,candidate_0163,candidate_0163,0,doi|10.1016/j.foodres.2014.01.005,226
378,candidate_0251,,candidate_0251,candidate_0251,0,doi|10.1007/s00217-019-03388-9,378
379,candidate_0099,candidate_0099,candidate_0099,candidate_0099,0,doi|10.3390/ijms22010107,131
380,candidate_0252,,candidate_0252,candidate_0252,0,doi|10.1007/s12161-012-9467-6,380
381,candidate_0253,,candidate_0253,candidate_0253,0,doi|10.4314/bcse.v25i1.63356,381
382,candidate_0254,,candidate_0254,candidate_0254,0,doi|10.1155/2014/384230,382
383,candidate_0255,,candidate_0255,candidate_0255,0,doi|10.3390/foods9050665,383
384,candidate_0033,candidate_0033,candidate_0033,candidate_0033,0,doi|10.3390/beverages5020037,36
385,candidate_0192,candidate_0192,candidate_0192,candidate_0192,0,doi|10.1016/j.foodres.2020.110014,279
386,candidate_0080,candidate_0080,candidate_0080,candidate_0080,0,doi|10.1016/j.fct.2018.10.005,87
387,candidate_0256,,candidate_0256,candidate_0256,0,doi|10.3390/foods11193146,387
388,candidate_0257,,candidate_0257,candidate_0257,0,doi|10.3390/foods9020121,388
389,candidate_0258,,candidate_0258,candidate_0258,0,doi|10.1039/c4fo00290c,389
390,candidate_0259,,candidate_0259,candidate_0259,0,doi|10.1016/j.heliyon.2023.e21402,390
391,candidate_0260,,candidate_0260,candidate_0260,0,fallback|roasted pub and eatery||,391
392,candidate_0261,,candidate_0261,candidate_0261,0,fallback|roasted||,392
393,candidate_0262,,candidate_0262,candidate_0262,0,fallback|roasted vegetables recipe||,393
394,candidate_0263,,candidate_0263,candidate_0263,0,fallback|roasted coffee nut roastery in tampa fl roasted813||,394
395,candidate_0264,,candidate_0264,candidate_0264,0,fallback|home discover artisanal cuisine and craft roasted||,395
396,candidate_0265,,candidate_0265,candidate_0265,0,fallback|perfect roasted potatoes recipe cookie and kate||,396
397,candidate_0266,,candidate_0266,candidate_0266,0,fallback|roasting wikipedia||,397
398,candidate_0267,,candidate_0267,candidate_0267,0,fallback|roasted english meaning cambridge dictionary||,398
399,candidate_0268,,candidate_0268,candidate_0268,0,fallback|roasted updated august 2026 42 photos 37 reviews 4322 yelp||,399
400,candidate_0269,,candidate_0269,candidate_0269,0,fallback|roasted definition meaning merriam webster||,400
